Player,Team,Goals,Assists,Shots on Target,Pos,Total Shots,Mins Played
Son Heung-min,Tottenham,23,7,47,F,86,3006
Mohamed Salah,Liverpool,23,13,49,F,134,2762
Cristiano Ronaldo,Manchester Utd,18,3,39,F,108,2456
Harry Kane,Tottenham,17,9,51,F,131,3232
Sadio Mané,Liverpool,16,2,37,F,99,2819
Kevin De Bruyne,Manchester City,15,8,31,M,77,2201
Diogo Jota,Liverpool,15,4,33,F,91,2364
Jamie Vardy,Leicester City,15,2,25,F,53,1806
Wilfried Zaha,Crystal Palace,14,1,26,F,62,2760
Raheem Sterling,Manchester City,13,5,25,F,54,2128
Jarrod Bowen,West Ham,12,10,33,F,80,2983
James Maddison,Leicester City,12,8,33,M,73,2459
Ivan Toney,Brentford,12,5,24,F,83,2909
Raphael Dias Belloli,Leeds United,11,3,21,F,85,2915
Riyad Mahrez,Manchester City,11,5,18,F,56,1498
Mason Mount,Chelsea,11,10,27,M,75,2363
Teemu Pukki,Norwich City,11,3,24,F,68,3253
Bukayo Saka,Arsenal,11,7,29,F,95,2978
Ollie Watkins,Aston Villa,11,2,31,F,77,2952
Michail Antonio,West Ham,10,8,27,F,83,2971
Emmanuel Dennis,Watford,10,6,27,F,61,2581
Bruno Fernandes,Manchester Utd,10,6,29,M,87,3111
Richarlison,Everton,10,5,20,F,70,2523
Emile Smith Rowe,Arsenal,10,2,23,M,40,1921
James Ward-Prowse,Southampton,10,5,20,M,51,3215
Maxwel Cornet,Burnley,9,1,22,F,46,1766
Phil Foden,Manchester City,9,5,22,F,58,2128
Saïd Benrahma,West Ham,8,6,22,F,63,2168
Conor Gallagher,Crystal Palace,8,3,22,M,52,2845
İlkay Gündoğan,Manchester City,8,4,18,M,55,1857
Jack Harrison,Leeds United,8,1,17,F,44,2639
Kai Havertz,Chelsea,8,3,23,F,56,1809
Gabriel Jesus,Manchester City,8,8,21,F,63,1877
Romelu Lukaku,Chelsea,8,0,13,F,42,1589
Neal Maupay,Brighton,8,2,14,F,59,2276
Bernardo Silva,Manchester City,8,4,19,M,47,2857
Leandro Trossard,Brighton,8,3,26,F,72,2805
Callum Wilson,Newcastle Utd,8,0,12,F,32,1386
Che Adams,Southampton,7,3,24,F,49,2039
Danny Ings,Aston Villa,7,6,17,F,48,1898
Rodri,Manchester City,7,2,14,M,45,2884
Yoane Wissa,Brentford,7,1,13,F,33,1284
Martin Ødegaard,Arsenal,7,4,21,M,53,2785
Harvey Barnes,Leicester City,6,10,24,F,67,2101
Armando Broja,Southampton,6,0,19,F,48,1975
Odsonne Édouard,Crystal Palace,6,3,17,F,38,1564
Pablo Fornals,West Ham,6,3,11,F,43,2795
Raúl Jiménez,Wolves,6,4,15,F,57,2631
Jorginho,Chelsea,6,2,2,M,9,2273
Ademola Lookman,Leicester City,6,0,12,F,27,1453
Martinelli,Arsenal,6,6,15,F,50,1860
Christian Pulisic,Chelsea,6,2,11,M,28,1290
Jacob Ramsey,Aston Villa,6,1,11,M,34,2467
Rodrigo,Leeds United,6,1,17,M,48,2265
Youri Tielemans,Leicester City,6,4,15,M,57,2631
Danny Welbeck,Brighton,6,2,20,F,43,1478
Dominic Calvert-Lewin,Everton,5,2,11,F,30,1283
Philippe Coutinho,Aston Villa,5,3,16,M,43,1329
Cucho,Watford,5,2,10,F,35,1147
Patson Daka,Leicester City,5,3,15,F,26,1159
Gabriel Dos Santos,Arsenal,5,0,12,D,30,3063
Fabinho,Liverpool,5,1,7,M,19,2314
Roberto Firmino,Liverpool,5,4,11,F,30,990
Demarai Gray,Everton,5,4,15,M,65,2338
Mason Greenwood,Manchester Utd,5,1,18,F,48,1271
Bruno Guimarães,Newcastle Utd,5,1,11,M,22,1034
Hwang Hee-chan,Wolves,5,1,12,F,29,1816
Reece James,Chelsea,5,9,10,D,37,1864
Joshua King,Watford,5,3,18,F,48,2248
Dejan Kulusevski,Tottenham,5,8,9,M,26,1261
Manuel Lanzini,West Ham,5,3,4,M,13,1786
Alexis Mac Allister,Brighton,5,2,9,M,57,2123
Jean-Philippe Mateta,Crystal Palace,5,1,18,F,37,1145
Eddie Nketiah,Arsenal,5,1,12,F,28,835
Allan Saint-Maximin,Newcastle Utd,5,5,26,F,64,2804
Ismaila Sarr,Watford,5,2,15,F,38,1861
Tomáš Souček,West Ham,5,1,11,M,45,3062
Marcos Alonso,Chelsea,4,4,10,D,43,2167
Pierre-Emerick Aubameyang,Arsenal,4,1,16,F,33,1037
Jan Bednarek,Southampton,4,0,7,D,19,2629
Christian Benteke,Crystal Palace,4,1,13,F,39,1145
Emi Buendía,Aston Villa,4,6,14,F,44,1899
Matty Cash,Aston Villa,4,3,13,D,36,3377
Conor Coady,Wolves,4,0,4,D,12,3361
Luis Díaz,Liverpool,4,3,14,F,38,958
Mohamed Elyounoussi,Southampton,4,2,17,M,43,2042
Fred,Manchester Utd,4,4,9,M,15,2028
Anthony Gordon,Everton,4,2,19,M,44,2285
Kelechi Iheanacho,Leicester City,4,5,11,F,31,1264
Daniel James,Leeds United,4,4,1,F,4,2366
Vitaly Janelt,Brentford,4,0,11,M,30,2298
Joelinton,Newcastle Utd,4,1,14,M,46,2558
Alexandre Lacazette,Arsenal,4,7,12,F,43,1782
Aymeric Laporte,Manchester City,4,0,7,D,35,2828
Bryan Mbeumo,Brentford,4,7,19,F,77,2905
Rúben Neves,Wolves,4,2,16,M,42,2661
Marcus Rashford,Manchester Utd,4,2,12,F,22,1235
Jeffrey Schlupp,Crystal Palace,4,1,9,M,33,1851
Timo Werner,Chelsea,4,1,16,F,45,1283
Hakim Ziyech,Chelsea,4,3,19,F,53,1319